season,episode,scene,speaker1,speaker2
1,1,1,Monica Geller,Joey Tribbiani
1,1,1,Chandler Bing,Monica Geller
1,1,1,Phoebe Buffay,Monica Geller
1,1,1,Monica Geller,#ALL#
1,1,1,Monica Geller,Ross Geller
1,1,1,Rachel Green,Monica Geller
1,1,1,Chandler Bing,Joey Tribbiani
1,1,1,Phoebe Buffay,Joey Tribbiani
1,1,1,#ALL#,Joey Tribbiani
1,1,1,Ross Geller,Joey Tribbiani
1,1,1,Rachel Green,Joey Tribbiani
1,1,1,Chandler Bing,Phoebe Buffay
1,1,1,Chandler Bing,#ALL#
1,1,1,Chandler Bing,Ross Geller
1,1,1,Chandler Bing,Rachel Green
1,1,1,Phoebe Buffay,#ALL#
1,1,1,Phoebe Buffay,Ross Geller
1,1,1,Rachel Green,Phoebe Buffay
1,1,1,Ross Geller,#ALL#
1,1,1,Rachel Green,#ALL#
1,1,1,Rachel Green,Ross Geller
1,1,2,Chandler Bing,Monica Geller
1,1,2,Monica Geller,Ross Geller
1,1,2,Rachel Green,Monica Geller
1,1,2,Phoebe Buffay,Monica Geller
1,1,2,Monica Geller,Joey Tribbiani
1,1,2,Monica Geller,#ALL#
1,1,2,Chandler Bing,Ross Geller
1,1,2,Chandler Bing,Rachel Green
1,1,2,Chandler Bing,Phoebe Buffay
1,1,2,Chandler Bing,Joey Tribbiani
1,1,2,Chandler Bing,#ALL#
1,1,2,Rachel Green,Ross Geller
1,1,2,Phoebe Buffay,Ross Geller
1,1,2,Ross Geller,Joey Tribbiani
1,1,2,Ross Geller,#ALL#
1,1,2,Rachel Green,Phoebe Buffay
1,1,2,Rachel Green,Joey Tribbiani
1,1,2,Rachel Green,#ALL#
1,1,2,Phoebe Buffay,Joey Tribbiani
1,1,2,Phoebe Buffay,#ALL#
1,1,2,#ALL#,Joey Tribbiani
1,1,4,Ross Geller,Joey Tribbiani
1,1,4,Chandler Bing,Ross Geller
1,1,4,Chandler Bing,Joey Tribbiani
1,1,7,Ross Geller,Joey Tribbiani
1,1,7,Chandler Bing,Ross Geller
1,1,7,Chandler Bing,Joey Tribbiani
1,1,10,Ross Geller,Joey Tribbiani
1,1,10,Chandler Bing,Ross Geller
1,1,10,Chandler Bing,Joey Tribbiani
1,1,11,Chandler Bing,Rachel Green
1,1,11,Rachel Green,Joey Tribbiani
1,1,11,Rachel Green,Monica Geller
1,1,11,Rachel Green,#ALL#
1,1,11,Chandler Bing,Joey Tribbiani
1,1,11,Chandler Bing,Monica Geller
1,1,11,Chandler Bing,#ALL#
1,1,11,Monica Geller,Joey Tribbiani
1,1,11,#ALL#,Joey Tribbiani
1,1,11,Monica Geller,#ALL#
1,1,13,Monica Geller,Joey Tribbiani
1,1,13,Ross Geller,Joey Tribbiani
1,1,13,Phoebe Buffay,Joey Tribbiani
1,1,13,Rachel Green,Joey Tribbiani
1,1,13,Chandler Bing,Joey Tribbiani
1,1,13,Monica Geller,Ross Geller
1,1,13,Phoebe Buffay,Monica Geller
1,1,13,Rachel Green,Monica Geller
1,1,13,Chandler Bing,Monica Geller
1,1,13,Phoebe Buffay,Ross Geller
1,1,13,Rachel Green,Ross Geller
1,1,13,Chandler Bing,Ross Geller
1,1,13,Rachel Green,Phoebe Buffay
1,1,13,Chandler Bing,Phoebe Buffay
1,1,13,Chandler Bing,Rachel Green
1,1,14,Rachel Green,Monica Geller
1,1,14,Rachel Green,Phoebe Buffay
1,1,14,Rachel Green,Ross Geller
1,1,14,Rachel Green,#ALL#
1,1,14,Chandler Bing,Rachel Green
1,1,14,Phoebe Buffay,Monica Geller
1,1,14,Monica Geller,Ross Geller
1,1,14,Monica Geller,#ALL#
1,1,14,Chandler Bing,Monica Geller
1,1,14,Phoebe Buffay,Ross Geller
1,1,14,Phoebe Buffay,#ALL#
1,1,14,Chandler Bing,Phoebe Buffay
1,1,14,Ross Geller,#ALL#
1,1,14,Chandler Bing,Ross Geller
1,1,14,Chandler Bing,#ALL#
1,1,15,Phoebe Buffay,Joey Tribbiani
1,1,15,Monica Geller,Joey Tribbiani
1,1,15,#ALL#,Joey Tribbiani
1,1,15,Ross Geller,Joey Tribbiani
1,1,15,Rachel Green,Joey Tribbiani
1,1,15,Chandler Bing,Joey Tribbiani
1,1,15,Phoebe Buffay,Monica Geller
1,1,15,Phoebe Buffay,#ALL#
1,1,15,Phoebe Buffay,Ross Geller
1,1,15,Rachel Green,Phoebe Buffay
1,1,15,Chandler Bing,Phoebe Buffay
1,1,15,Monica Geller,#ALL#
1,1,15,Monica Geller,Ross Geller
1,1,15,Rachel Green,Monica Geller
1,1,15,Chandler Bing,Monica Geller
1,1,15,Ross Geller,#ALL#
1,1,15,Rachel Green,#ALL#
1,1,15,Chandler Bing,#ALL#
1,1,15,Rachel Green,Ross Geller
1,1,15,Chandler Bing,Ross Geller
1,1,15,Chandler Bing,Rachel Green
1,2,1,Monica Geller,Joey Tribbiani
1,2,1,Phoebe Buffay,Monica Geller
1,2,1,Rachel Green,Monica Geller
1,2,1,Chandler Bing,Monica Geller
1,2,1,Monica Geller,Ross Geller
1,2,1,Phoebe Buffay,Joey Tribbiani
1,2,1,Rachel Green,Joey Tribbiani
1,2,1,Chandler Bing,Joey Tribbiani
1,2,1,Ross Geller,Joey Tribbiani
1,2,1,Rachel Green,Phoebe Buffay
1,2,1,Chandler Bing,Phoebe Buffay
1,2,1,Phoebe Buffay,Ross Geller
1,2,1,Chandler Bing,Rachel Green
1,2,1,Rachel Green,Ross Geller
1,2,1,Chandler Bing,Ross Geller
1,2,2,Carol Willick,Ross Geller
1,2,3,Chandler Bing,Phoebe Buffay
1,2,3,Chandler Bing,Monica Geller
1,2,3,Chandler Bing,Joey Tribbiani
1,2,3,Chandler Bing,#ALL#
1,2,3,Chandler Bing,Rachel Green
1,2,3,Chandler Bing,Ross Geller
1,2,3,Phoebe Buffay,Monica Geller
1,2,3,Phoebe Buffay,Joey Tribbiani
1,2,3,Phoebe Buffay,#ALL#
1,2,3,Rachel Green,Phoebe Buffay
1,2,3,Phoebe Buffay,Ross Geller
1,2,3,Monica Geller,Joey Tribbiani
1,2,3,Monica Geller,#ALL#
1,2,3,Rachel Green,Monica Geller
1,2,3,Monica Geller,Ross Geller
1,2,3,#ALL#,Joey Tribbiani
1,2,3,Rachel Green,Joey Tribbiani
1,2,3,Ross Geller,Joey Tribbiani
1,2,3,Rachel Green,#ALL#
1,2,3,Ross Geller,#ALL#
1,2,3,Rachel Green,Ross Geller
1,2,4,Judy Geller,Monica Geller
1,2,4,Judy Geller,Ross Geller
1,2,4,Monica Geller,Ross Geller
1,2,5,Ross Geller,Joey Tribbiani
1,2,5,Monica Geller,Joey Tribbiani
1,2,5,Phoebe Buffay,Joey Tribbiani
1,2,5,Rachel Green,Joey Tribbiani
1,2,5,Chandler Bing,Joey Tribbiani
1,2,5,Monica Geller,Ross Geller
1,2,5,Phoebe Buffay,Ross Geller
1,2,5,Rachel Green,Ross Geller
1,2,5,Chandler Bing,Ross Geller
1,2,5,Phoebe Buffay,Monica Geller
1,2,5,Rachel Green,Monica Geller
1,2,5,Chandler Bing,Monica Geller
1,2,5,Rachel Green,Phoebe Buffay
1,2,5,Chandler Bing,Phoebe Buffay
1,2,5,Chandler Bing,Rachel Green
1,2,6,Ross Geller,Susan Bunch
1,2,6,Carol Willick,Ross Geller
1,2,6,Carol Willick,Susan Bunch
1,2,8,Carol Willick,Ross Geller
1,2,8,Ross Geller,Susan Bunch
1,2,8,Carol Willick,Susan Bunch
1,2,10,Ross Geller,Susan Bunch
1,2,10,Carol Willick,Susan Bunch
1,2,10,Susan Bunch,#ALL#
1,2,10,Carol Willick,Ross Geller
1,2,10,Ross Geller,#ALL#
1,2,10,Carol Willick,#ALL#
1,2,11,Ross Geller,Joey Tribbiani
