season,episode,scene,speaker1,speaker2,speaker_pair,num_speaker_pairs,interaction_factor
1,1,1,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,1,1,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,1,1,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,1,1,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,1,1,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,1,1,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,1,1,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,1,1,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,1,1,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,1,1,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,1,1,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,1,1,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,1,1,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,1,1,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,1,1,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,1,1,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,1,1,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,1,1,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,1,1,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,1,1,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,1,1,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,1,2,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,21,0.047619047619047616
1,1,2,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,1,2,Rachel Green,Monica Geller,Rachel Green-Monica Geller,21,0.047619047619047616
1,1,2,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,1,2,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,1,2,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,1,2,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,1,2,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,21,0.047619047619047616
1,1,2,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
1,1,2,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,1,2,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,1,2,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,1,2,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,1,2,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,1,2,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,1,2,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,21,0.047619047619047616
1,1,2,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,1,2,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,1,2,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,1,2,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,1,2,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,1,4,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,3,0.3333333333333333
1,1,4,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,3,0.3333333333333333
1,1,4,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,3,0.3333333333333333
1,1,7,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,3,0.3333333333333333
1,1,7,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,3,0.3333333333333333
1,1,7,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,3,0.3333333333333333
1,1,10,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,3,0.3333333333333333
1,1,10,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,3,0.3333333333333333
1,1,10,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,3,0.3333333333333333
1,1,11,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,10,0.1
1,1,11,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,10,0.1
1,1,11,Rachel Green,Monica Geller,Rachel Green-Monica Geller,10,0.1
1,1,11,Rachel Green,#ALL#,Rachel Green-#ALL#,10,0.1
1,1,11,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,10,0.1
1,1,11,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,10,0.1
1,1,11,Chandler Bing,#ALL#,Chandler Bing-#ALL#,10,0.1
1,1,11,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,10,0.1
1,1,11,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,10,0.1
1,1,11,Monica Geller,#ALL#,Monica Geller-#ALL#,10,0.1
1,1,13,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,15,0.06666666666666667
1,1,13,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,15,0.06666666666666667
1,1,13,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,15,0.06666666666666667
1,1,13,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,15,0.06666666666666667
1,1,13,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,15,0.06666666666666667
1,1,13,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,1,13,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,15,0.06666666666666667
1,1,13,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,1,13,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,1,13,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,15,0.06666666666666667
1,1,13,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,1,13,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,1,13,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,15,0.06666666666666667
1,1,13,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,15,0.06666666666666667
1,1,13,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,1,14,Rachel Green,Monica Geller,Rachel Green-Monica Geller,15,0.06666666666666667
1,1,14,Rachel Green,Phoebe Buffay,Rachel Green-Phoebe Buffay,15,0.06666666666666667
1,1,14,Rachel Green,Ross Geller,Rachel Green-Ross Geller,15,0.06666666666666667
1,1,14,Rachel Green,#ALL#,Rachel Green-#ALL#,15,0.06666666666666667
1,1,14,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,1,14,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,15,0.06666666666666667
1,1,14,Monica Geller,Ross Geller,Monica Geller-Ross Geller,15,0.06666666666666667
1,1,14,Monica Geller,#ALL#,Monica Geller-#ALL#,15,0.06666666666666667
1,1,14,Chandler Bing,Monica Geller,Chandler Bing-Monica Geller,15,0.06666666666666667
1,1,14,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,15,0.06666666666666667
1,1,14,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,15,0.06666666666666667
1,1,14,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,15,0.06666666666666667
1,1,14,Ross Geller,#ALL#,Ross Geller-#ALL#,15,0.06666666666666667
1,1,14,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,15,0.06666666666666667
1,1,14,Chandler Bing,#ALL#,Chandler Bing-#ALL#,15,0.06666666666666667
1,1,15,Phoebe Buffay,Joey Tribbiani,Phoebe Buffay-Joey Tribbiani,21,0.047619047619047616
1,1,15,Monica Geller,Joey Tribbiani,Monica Geller-Joey Tribbiani,21,0.047619047619047616
1,1,15,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,1,15,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,1,15,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,21,0.047619047619047616
1,1,15,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,21,0.047619047619047616
1,1,15,Phoebe Buffay,Monica Geller,Phoebe Buffay-Monica Geller,21,0.047619047619047616
1,1,15,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
